,Type,Name,Statement,Where,Date,Link
0,false,Josh Mandel,"Says Mike Gibbons said ""military service doesn't count as real work.""",ad,"March 26, 2022",https://www.politifact.com/factchecks/2022/apr/01/josh-mandel/ohio-us-senate-race-mandel-falsely-claimed-gibbons/
1,false,Facebook posts,"A baby’s immune system can’t handle antigens from vaccines, because new food must be introduced slowly to identify allergic reactions.",Facebook post,"March 23, 2022",https://www.politifact.com/factchecks/2022/apr/01/facebook-posts/social-media-post-makes-inaccurate-comparison-betw/
2,false,Donald Trump,The Strategic Petroleum Reserve has “been mostly empty” for decades.,public statement,"March 31, 2022",https://www.politifact.com/factchecks/2022/apr/01/donald-trump/donald-trump-wrong-strategic-petroleum-reserve-has/
3,false,Facebook posts,"Pfizer staged the Will Smith and Chris Rock confrontation at the Academy Awards because it ""has a new alopecia medication coming out.""",post,"March 28, 2022",https://www.politifact.com/factchecks/2022/mar/31/facebook-posts/evidence-does-not-support-claim-pfizer-staged-osca/
4,false,Sarah Palin,The Biden administration is attempting “to criminalize free speech.”,Facebook post,"March 25, 2022",https://www.politifact.com/factchecks/2022/mar/31/sarah-palin/terrorism-bulletin-not-attempt-criminalize-free-sp/
5,false,Donald Trump,"“You go to a store, they don’t have bread.”",interview with Just News,"March 29, 2022",https://www.politifact.com/factchecks/2022/mar/30/donald-trump/donald-trump-says-stores-dont-have-bread-they-do/
6,false,Facebook posts,Joe Biden didn’t sign an antilynching bill in a ceremony outside the White House on March 29.,Facebook post,"March 30, 2022",https://www.politifact.com/factchecks/2022/mar/30/facebook-posts/yes-joe-biden-signed-antilynching-bill-white-house/
7,false,Facebook posts,A video shows crowds shouting profanity at Joe Biden.,Facebook post,"March 27, 2022",https://www.politifact.com/factchecks/2022/mar/30/facebook-posts/video-people-shouting-profanity-biden-not-real-pro/
8,false,Facebook posts,"Says Chris Rock apologized after 94th Academy Awards, saying, “Last night I crossed a line that I shouldn’t have and paid the enormous price of my reputation as a renown comedian.”",Facebook post,"March 28, 2022",https://www.politifact.com/factchecks/2022/mar/29/facebook-posts/no-chris-rock-didnt-write-he-crossed-line-oscars-j/
9,false,Viral image,Twitter suspended a swimmer for tweeting about Lia Thomas.,Facebook post,"March 22, 2022",https://www.politifact.com/factchecks/2022/mar/29/viral-image/no-twitter-didnt-suspend-virginia-tech-swimmer-rek/
10,false,Viral image,Photo shows Nicole Kidman reacting to Will Smith slapping Chris Rock.,Facebook post,"March 27, 2022",https://www.politifact.com/factchecks/2022/mar/29/viral-image/no-isnt-photo-nicole-kidman-reacting-will-smith-an/
11,false,Viral image,Photos show celebrities reacting to Will Smith slapping Chris Rock.,Facebook post,"March 27, 2022",https://www.politifact.com/factchecks/2022/mar/29/viral-image/no-these-arent-photos-celebrities-reacting-will-sm/
12,false,Facebook posts,Foo Fighters drummer Taylor Hawkins died from a COVID-19 vaccine.,Facebook post,"March 27, 2022",https://www.politifact.com/factchecks/2022/mar/29/facebook-posts/social-media-post-claims-without-evidence-foo-figh/
13,false,Tweets,Will Smith slapped Chris Rock “to take attention away from Ukraine.”,tweet,"March 28, 2022",https://www.politifact.com/factchecks/2022/mar/29/tweets/no-evidence-support-claim-will-smith-chris-rock-co/
14,false,Viral image,"CNN staged a fire in Edmonton, Canada, and claimed it was filmed in Ukraine.",Facebook post,"March 28, 2022",https://www.politifact.com/factchecks/2022/mar/28/viral-image/no-edmonton-jacket-isnt-proof-cnn-staged-fire-part/
15,false,YouTube videos,A video shows Ukraine President Volodymyr Zelenskyy singing “Imagine” by John Lennon.,YouTube videos caption,"March 19, 2022",https://www.politifact.com/factchecks/2022/mar/28/youtube-videos/does-video-show-zelenskyy-singing-imagine-john-len/
16,false,Eli Bremer,"“If you look at windmills” and the greenhouse gas emissions from building to retiring them, “the overall return is negative.”",interview with Fox News,"March 23, 2022",https://www.politifact.com/factchecks/2022/mar/28/eli-bremer/gop-senate-candidates-muddled-claim-about-windmill/
17,false,Viral image,Republicans “nominated the 1st Black woman to the SCOTUS & she was BLOCKED & filibustered by… Joe Biden.”,Facebook post,"March 25, 2022",https://www.politifact.com/factchecks/2022/mar/28/viral-image/no-janice-rogers-brown-wasnt-first-black-woman-nom/
18,false,Viral image,A photo of President Joe Biden leaving for Europe that the White House tweeted wasn’t actually taken on March 23.,Instagram post,"March 23, 2022",https://www.politifact.com/factchecks/2022/mar/25/viral-image/no-these-trees-dont-prove-white-house-tweeted-old-/
19,false,Jack Posobiec,Ketanji Brown Jackson “says she gave pedophiles lighter sentences (because) it’s different when they use computers vs mail to get volumes of child porn. This makes ‘total sense’ according to Jackson.”,tweet,"March 22, 2022",https://www.politifact.com/factchecks/2022/mar/25/jack-posopiec/viral-tweet-distorts-ketanji-brown-jacksons-answer/
20,false,Viral image,“The Simpsons” predicted Russia’s invasion of Ukraine.,tweet,"March 5, 2022",https://www.politifact.com/factchecks/2022/mar/25/viral-image/no-simpsons-did-not-predict-russias-invasion-ukrai/
21,false,Facebook posts,Ukrainian President Volodymyr Zelensky wore a Nazi cross symbol.,Facebook post,"March 16, 2022",https://www.politifact.com/factchecks/2022/mar/25/facebook-posts/zelenskys-shirt-bears-emblem-ukraine-armed-forces-/
22,false,Viral image,CNN tweeted a picture of a Serbian resort and said it was in Ukraine.,Facebook post,"March 21, 2022",https://www.politifact.com/factchecks/2022/mar/25/viral-image/supposed-cnn-tweet-about-hotel-altered/
