,article_id,tweet_id,tweet_body,post_timestamp,post_location,conversation_id,retweet_count,reply_count,like_count,quote_count,user_id,user_timestamp,user_nickname,username,user_location,user_followers,user_following,user_tweet_count,user_listed_count
118,0,1509679501701263360,"These toes will be in: 

New Jersey // DMV // Orlando // Virginia Beach // Miami // Ft Lauderdale♥️ 

Book with me today - must be deposit // verification ready🚨 https://t.co/GUDHXhlO19",2022-03-31T23:50:16.000Z,,1509679501701263360,11,1,56,0,1498839249512284163,2022-03-02T01:55:16.000Z,NJ 4/8-10 DC 4/10-12📍~Tuffie🌻,tuffiearchkween,,2164,556,2331,4
119,0,1509679501701263360,"These toes will be in: 

New Jersey // DMV // Orlando // Virginia Beach // Miami // Ft Lauderdale♥️ 

Book with me today - must be deposit // verification ready🚨 https://t.co/GUDHXhlO19",2022-03-31T23:50:16.000Z,,1509679501701263360,11,1,56,0,1498839249512284163,2022-03-02T01:55:16.000Z,NJ 4/8-10 DC 4/10-12📍~Tuffie🌻,tuffiearchkween,,2163,556,2332,3
134,0,1509679256170909698,"Transgender Virginia State Rep. Danica Roem with her metal band, Cab Ride Home. https://t.co/fbWAbmTnds",2022-03-31T23:49:17.000Z,,1509679256170909698,205,32,2762,47,1411723858181251074,2021-07-04T16:29:48.000Z,crazy ass moments in american politics,ampol_moment,From Sea to Shining Sea,275654,2,360,254
135,0,1509679256170909698,"Transgender Virginia State Rep. Danica Roem with her metal band, Cab Ride Home. https://t.co/fbWAbmTnds",2022-03-31T23:49:17.000Z,,1509679256170909698,205,32,2762,47,1411723858181251074,2021-07-04T16:29:48.000Z,crazy ass moments in american politics,ampol_moment,From Sea to Shining Sea,275757,2,363,254
173,0,1509678509953847300,"Coming up: 4-star point guard London Johnson really likes Virginia's coaching staff, but will the Cavaliers be the school he chooses Friday afternoon?",2022-03-31T23:46:19.000Z,,1509678509953847300,2,3,70,1,483970346,2012-02-05T15:56:33.000Z,Jerry Ratcliffe,JerryRatcliffe,"Charlottesville, Va.",14408,6328,87866,313
174,0,1509678509953847300,"Coming up: 4-star point guard London Johnson really likes Virginia's coaching staff, but will the Cavaliers be the school he chooses Friday afternoon?",2022-03-31T23:46:19.000Z,,1509678509953847300,2,3,70,1,483970346,2012-02-05T15:56:33.000Z,Jerry Ratcliffe,JerryRatcliffe,"Charlottesville, Va.",14410,6328,87870,312
530,5,1509681933755813888,Moody's baja a 1.1% la perspectiva de crecimiento del PIB de México para este año | EL ECONOMISTA Economía. SIGUEN A LA BAJA LOS PRONÓSTICOS DE CRECIMIENTO .  https://t.co/tNlOubkThr,2022-03-31T23:59:56.000Z,,1509681933755813888,60,4,111,4,155342172,2010-06-13T21:49:15.000Z,Mario Di Costanzo,mario_dico50,,100097,8137,23097,266
649,5,1509681527197687809,"¡Primeros 1,000 libros y manuales donados a 3 escuelas públicas en Guadalajara! ¡Gracias a todos los que lo hicieron posible! ¡Esperemos que sean los primeros de muchos en todo Mexico! ¡Está en nuestras manos cambiar nuestro país! @mihermanoluca #autismo #inclusion #MiAmigoLuca https://t.co/A76XQ4Mmyd",2022-03-31T23:58:19.000Z,,1509681527197687809,3,4,62,0,276615770,2011-04-03T18:37:23.000Z,Catalina Serna,catyserna,,6155,411,5116,8
677,11,1509324569068257285,"UPDATE: PNP Health Service recorded the following total number of confirmed COVID-19 cases, death and recoveries on March 31, 2022: 

#WeServeAndProtect
#PNPKakampiMo
https://t.co/HPUQD6rbsR
https://t.co/txtYyrzpsG
https://t.co/qlKAEuCacb. pio
https://t.co/Et8tu4J5hM https://t.co/w8o6669q8H",2022-03-31T00:19:53.000Z,,1509324569068257285,55,0,83,5,241394761,2011-01-22T04:31:46.000Z,Philippine National Police,pnppio,"Quezon City, Philippines",183695,1497,9375,513
744,12,1509618076857286667,"@RepDeanPhillips @JoyAnnReid My daughter has Type 1 diabetes and did nearly die in college when her insulin had gone bad but she didn’t know it, thinking instead the pump was malfunctioning. Medics got her to the hospital just in time. Insulin isn’t gas. There is no option.",2022-03-31T19:46:11.000Z,,1509603555006685191,18,1,111,0,102716915,2010-01-07T16:04:40.000Z,Mary Beth Schneider,marybschneider,Indianapolis,18560,3087,154505,425
838,16,1509677435939442691,"According to a report, #WVU head coach Bob Huggins is heading to the hall 

Link: https://t.co/gWWftq48qv https://t.co/2oC6gvgjwR",2022-03-31T23:42:03.000Z,,1509677435939442691,6,1,86,1,24763873,2009-03-16T20:34:55.000Z,WVSports.com,WVSportsDotCom,"Morgantown, WV",23960,3059,43619,219
877,16,1509674136167190529,BREAKING: Huge news for #WVU! ⭐️⭐️⭐️⭐️⭐️ quarterback is coming to Morgantown! https://t.co/XO71uNzP46,2022-03-31T23:28:57.000Z,,1509674136167190529,4,14,97,3,2722595491,2014-08-10T22:01:21.000Z,The Voice of Morgantown,voicemorgantown,"Morgantown, WV",6341,3242,4949,24
890,16,1509671980420771849,"Sources: Georgia transfer quarterback JT Daniels has officially set a visit to West Virginia on the weekend of April 9th. This is his third official visit of the spring, as he’s already been to Missouri and Oregon State. He’ll decide in the next few weeks.",2022-03-31T23:20:23.000Z,,1509671980420771849,101,22,460,39,68441962,2009-08-24T16:15:14.000Z,Pete Thamel,PeteThamel,Boston MA,202985,4686,16906,4583
891,16,1509671980420771849,"Sources: Georgia transfer quarterback JT Daniels has officially set a visit to West Virginia on the weekend of April 9th. This is his third official visit of the spring, as he’s already been to Missouri and Oregon State. He’ll decide in the next few weeks.",2022-03-31T23:20:23.000Z,,1509671980420771849,101,22,460,39,68441962,2009-08-24T16:15:14.000Z,Pete Thamel,PeteThamel,Boston MA,202984,4686,16906,4583
931,16,1509667421766168577,"West Virginia head coach Bob Huggins will be inducted into the Naismith Memorial Basketball Hall of Fame Class of 2022, sources confirmed to @ShamsCharania.

The 68-year-old is a 2x NCAA Coach of the Year. @WVUhoops

https://t.co/HulmgTmiV9 https://t.co/ftJZUjy3QD",2022-03-31T23:02:16.000Z,,1509667421766168577,31,7,343,17,889283602374160385,2017-07-24T00:38:27.000Z,The Athletic CBB,TheAthleticCBB,,29557,49,19703,589
1032,16,1509663240183115781,"West Virginia coach Bob Huggins to be inducted into Naismith Memorial Basketball Hall of Fame, per report.

https://t.co/v0Elwqbsox https://t.co/IfIpRafW5E",2022-03-31T22:45:39.000Z,,1509663240183115781,7,3,91,5,151595281,2010-06-03T19:47:44.000Z,247Sports,247Sports,,328151,969,115026,1381
1034,16,1509663240183115781,"West Virginia coach Bob Huggins to be inducted into Naismith Memorial Basketball Hall of Fame, per report.

https://t.co/v0Elwqbsox https://t.co/IfIpRafW5E",2022-03-31T22:45:39.000Z,,1509663240183115781,7,3,91,5,151595281,2010-06-03T19:47:44.000Z,247Sports,247Sports,,328176,969,115043,1381
1110,24,1509590918592188426,"Millions of Americans will be at increased risk if #COVID19 funding runs out.
   
In @NYTimes, Dr. Kessler and I discuss how we will lose the critical momentum we’ve made thus far if Congress fails to provide the resources we need. https://t.co/0ATGFH9CHN",2022-03-31T17:58:16.000Z,,1509590918592188426,27,11,64,6,455024343,2012-01-04T17:08:18.000Z,"Dr. Vivek Murthy, U.S. Surgeon General",Surgeon_General,"Washington, DC",1042954,183,12795,3144
1182,25,1509245443632517139,"""CBS News’s decision to hire former Trump administration official Mick Mulvaney as a paid on-air contributor is drawing backlash within the company because of his history of bashing the press and promoting the former president’s fact-free claims."" https://t.co/z6YwEJN7Qw",2022-03-30T19:05:28.000Z,,1509245443632517139,746,209,2417,135,14834340,2008-05-19T16:09:01.000Z,Jay Rosen,jayrosen_nyu,New York City jr3@nyu.edu,308903,1500,93305,12401
1286,28,1509679801749098499,I’m confused when people say I am paving roads for elections ! I do work once I have money elections or not . I try to promote the work that’s ongoing.,2022-03-31T23:51:27.000Z,{'place_id': '47bf5243296fa7e3'},1509679801749098499,5,14,135,0,41900828,2009-05-22T21:05:01.000Z,Kwasi Robinson HBM 🇹🇹🇹🇹🇹🇹🇹🇹,KwasiJRobinson,Trinidad and Tobago,1502,1156,11314,4
1479,35,1509681534772596748,@eatdabootyBM cuts the average person’s iq in half,2022-03-31T23:58:21.000Z,,1509671215941799937,8,4,508,0,4692605184,2016-01-02T00:26:38.000Z,Nariman,slytherinus,Zack Snyder’s home theatre,1942,931,45468,22
1480,35,1509681534772596748,@eatdabootyBM cuts the average person’s iq in half,2022-03-31T23:58:21.000Z,,1509671215941799937,8,4,508,0,4692605184,2016-01-02T00:26:38.000Z,Nariman,slytherinus,Zack Snyder’s home theatre,1942,931,45475,22
1729,37,1509575657818365955,"There is a strong positive correlation between being the worst kind of GM and being just the worst in general.

#DnD #DungeonsAndDragons https://t.co/Wo3qIQHueB",2022-03-31T16:57:38.000Z,,1509569554133008384,8,7,106,1,1369074408388714500,2021-03-08T23:55:56.000Z,Bad Writing Takes 🖊️🏳️‍🌈,BadWritingTakes,DMs Open For Submissions,11559,42,1151,52
1732,37,1509568775120912386,"Meghalaya CM welcomes Centre's decision on AFSPA, says it sends out positive message to North-East people
 
Read @ANI Story | https://t.co/pdMygPVWnj
#AFSPA #NorthEast #Meghalaya #Assam #Nagaland #Manipur https://t.co/Ek79ZFUO6a",2022-03-31T16:30:17.000Z,,1509568775120912386,16,2,102,1,817976607398731776,2017-01-08T06:09:55.000Z,ANI Digital,ani_digital,India,266077,0,56151,411
1777,37,1509492922038861832,"The SDP and Centre parties are preparing to change their positions on NATO.  

SDP plans to approve a NATO-positive at the party's General Assembly in May.

A similar decision is expected to be taken at Centre party's National Assembly on April 9-10.

(12/13)",2022-03-31T11:28:52.000Z,,1509482465433628677,29,3,297,0,1222773302441148416,2020-01-30T06:48:04.000Z,Visegrád 24,visegrad24,Visegrad,230769,636,11413,2352
1790,39,1509560050670608390,"Texas RB Bijan Robinson said today his elbow is fully healed up. He was cleared about a month ago.

About working with Tashard Choice: “Everybody can feel his presence because he’s the loudest one out there, but on top of that he’s going to teach you everything you need to know.”",2022-03-31T15:55:37.000Z,,1509560050670608390,13,0,175,1,2326027824,2014-02-03T20:52:54.000Z,Joe Cook,josephcook89,Parts Unknown,14261,1194,56130,222
1791,39,1509560050670608390,"Texas RB Bijan Robinson said today his elbow is fully healed up. He was cleared about a month ago.

About working with Tashard Choice: “Everybody can feel his presence because he’s the loudest one out there, but on top of that he’s going to teach you everything you need to know.”",2022-03-31T15:55:37.000Z,,1509560050670608390,13,0,175,1,2326027824,2014-02-03T20:52:54.000Z,Joe Cook,josephcook89,Parts Unknown,14261,1195,56135,222
2045,43,1509603835165216780,Today marks the first anniversary since the Marijuana Regulation and Taxation Act (MRTA) became enacted into law! https://t.co/ql1gkjZ4dF,2022-03-31T18:49:36.000Z,,1509603835165216780,21,11,96,4,2207820906,2013-11-21T21:00:38.000Z,Crystal D. Peoples-Stokes,CPeoplesStokes,"Buffalo, NY",5992,1571,3310,146
2433,50,1509677435939442691,"According to a report, #WVU head coach Bob Huggins is heading to the hall 

Link: https://t.co/gWWftq48qv https://t.co/2oC6gvgjwR",2022-03-31T23:42:03.000Z,,1509677435939442691,6,1,86,1,24763873,2009-03-16T20:34:55.000Z,WVSports.com,WVSportsDotCom,"Morgantown, WV",23960,3059,43619,219
2472,50,1509674136167190529,BREAKING: Huge news for #WVU! ⭐️⭐️⭐️⭐️⭐️ quarterback is coming to Morgantown! https://t.co/XO71uNzP46,2022-03-31T23:28:57.000Z,,1509674136167190529,4,14,97,3,2722595491,2014-08-10T22:01:21.000Z,The Voice of Morgantown,voicemorgantown,"Morgantown, WV",6341,3242,4949,24
2485,50,1509671980420771849,"Sources: Georgia transfer quarterback JT Daniels has officially set a visit to West Virginia on the weekend of April 9th. This is his third official visit of the spring, as he’s already been to Missouri and Oregon State. He’ll decide in the next few weeks.",2022-03-31T23:20:23.000Z,,1509671980420771849,101,22,460,39,68441962,2009-08-24T16:15:14.000Z,Pete Thamel,PeteThamel,Boston MA,202985,4686,16906,4583
2486,50,1509671980420771849,"Sources: Georgia transfer quarterback JT Daniels has officially set a visit to West Virginia on the weekend of April 9th. This is his third official visit of the spring, as he’s already been to Missouri and Oregon State. He’ll decide in the next few weeks.",2022-03-31T23:20:23.000Z,,1509671980420771849,101,22,460,39,68441962,2009-08-24T16:15:14.000Z,Pete Thamel,PeteThamel,Boston MA,202984,4686,16906,4583
2526,50,1509667421766168577,"West Virginia head coach Bob Huggins will be inducted into the Naismith Memorial Basketball Hall of Fame Class of 2022, sources confirmed to @ShamsCharania.

The 68-year-old is a 2x NCAA Coach of the Year. @WVUhoops

https://t.co/HulmgTmiV9 https://t.co/ftJZUjy3QD",2022-03-31T23:02:16.000Z,,1509667421766168577,31,7,343,17,889283602374160385,2017-07-24T00:38:27.000Z,The Athletic CBB,TheAthleticCBB,,29557,49,19703,589
2627,50,1509663240183115781,"West Virginia coach Bob Huggins to be inducted into Naismith Memorial Basketball Hall of Fame, per report.

https://t.co/v0Elwqbsox https://t.co/IfIpRafW5E",2022-03-31T22:45:39.000Z,,1509663240183115781,7,3,91,5,151595281,2010-06-03T19:47:44.000Z,247Sports,247Sports,,328151,969,115026,1381
2629,50,1509663240183115781,"West Virginia coach Bob Huggins to be inducted into Naismith Memorial Basketball Hall of Fame, per report.

https://t.co/v0Elwqbsox https://t.co/IfIpRafW5E",2022-03-31T22:45:39.000Z,,1509663240183115781,7,3,91,5,151595281,2010-06-03T19:47:44.000Z,247Sports,247Sports,,328176,969,115043,1381
2691,52,1509641133370097667,"5 years ago today, I was in a meeting at @CBSNews with @CBSWalsh and Bob Schieffer of @FaceTheNation walked in. I said way too loudly, ""Holy [expletive]! it's Bob Schieffer."" He said laughingly, ""I know."" We talked about Marines in the Vietnam War and Willie Nelson smoking weed. https://t.co/YAuSXje6LF",2022-03-31T21:17:48.000Z,,1509641133370097667,6,2,150,0,2575205850,2014-06-18T17:35:03.000Z,James LaPorta,JimLaPorta,,86770,9735,869,1085
2887,63,1509681942232510470,@expatua This is disgusting.  Theyvare so stupid to think this will work in their favor.  It just makes people angry at the insane and callousness of their behavior.  Who wants a neighbor like psychopathic Russia? Russia should be broken up.  It has menaced the world for far too long.,2022-03-31T23:59:58.000Z,,1509554530983325710,10,1,71,1,51827732,2009-06-28T20:07:00.000Z,Kathy NJ,ecclesias,,13852,14119,847172,258
3197,75,1509644270143258625,A Vancouver man known for throwing a wild party in a penthouse apartment against B.C.'s COVID-19 restrictions has now been banned from working in Canada’s investment industry.  https://t.co/hQ4RAmEFQk,2022-03-31T21:30:16.000Z,,1509644270143258625,41,60,330,10,16313405,2008-09-16T17:09:30.000Z,CTV News Vancouver,CTVVancouver,"Vancouver, British Columbia",335105,322,167161,2683
3252,76,1509681897026240520,@TubboTWO I can but only if I have one hand on the door so I can close it fast to stop the peepee poopoo man,2022-03-31T23:59:47.000Z,,1509640190201114626,73,41,12684,3,867218617,2012-10-08T01:11:29.000Z,Slimecicle,Slimecicle,,1440217,830,6993,1924
3253,76,1509681897026240520,@TubboTWO I can but only if I have one hand on the door so I can close it fast to stop the peepee poopoo man,2022-03-31T23:59:47.000Z,,1509640190201114626,73,41,12684,3,867218617,2012-10-08T01:11:29.000Z,Slimecicle,Slimecicle,,1440248,830,6993,1925
3365,76,1509681790591635459,ever find yourself utterly bemused by the beautiful souls who deign to call you a friend? physically wrestle with the fact that you couldn’t have possibly done anything to even remotely come close to deserving their company in your corner?,2022-03-31T23:59:22.000Z,,1509681790591635459,5,10,139,4,1447586566071783432,2021-10-11T15:35:18.000Z,keta,keta_mean_,island of misfits,1054,335,3754,12
3366,76,1509681790591635459,ever find yourself utterly bemused by the beautiful souls who deign to call you a friend? physically wrestle with the fact that you couldn’t have possibly done anything to even remotely come close to deserving their company in your corner?,2022-03-31T23:59:22.000Z,,1509681790591635459,5,10,139,4,1447586566071783432,2021-10-11T15:35:18.000Z,keta,keta_mean_,island of misfits,1059,335,3759,12
3414,76,1509681727769399300,"They’re builders. They’re explorers. They're family.

#WomensHistoryMonth 2022 comes to a close, but we never stop honoring those who make space for everybody: https://t.co/8upYnZC35R
https://t.co/i7w3i0VHjl",2022-03-31T23:59:07.000Z,,1509681727769399300,292,50,1956,12,11348282,2007-12-19T20:20:32.000Z,NASA,NASA,Pale Blue Dot,55223827,181,68164,98091
3415,76,1509681727769399300,"They’re builders. They’re explorers. They're family.

#WomensHistoryMonth 2022 comes to a close, but we never stop honoring those who make space for everybody: https://t.co/8upYnZC35R
https://t.co/i7w3i0VHjl",2022-03-31T23:59:07.000Z,,1509681727769399300,292,50,1956,12,11348282,2007-12-19T20:20:32.000Z,NASA,NASA,Pale Blue Dot,55229341,181,68164,98092
3416,76,1509681727769399300,"They’re builders. They’re explorers. They're family.

#WomensHistoryMonth 2022 comes to a close, but we never stop honoring those who make space for everybody: https://t.co/8upYnZC35R
https://t.co/i7w3i0VHjl",2022-03-31T23:59:07.000Z,,1509681727769399300,292,50,1956,12,11348282,2007-12-19T20:20:32.000Z,NASA,NASA,Pale Blue Dot,55230930,181,68166,98090
3538,77,1509668611824230405,"@ConorLambPA Fetterman has had 9 years to admit to making a mistake and apologize to Mr. Miyares for pulling a gun at him and for any trauma he may have caused him and hasn't done that.

John Fetterman is like Donald Trump in that they both can never admit to making a mistake.",2022-03-31T23:07:00.000Z,,1509667056760799234,29,15,178,0,34499774,2009-04-23T02:31:13.000Z,April 🇺🇦🌻,April_Sassy,,1430,3455,67033,10
3572,77,1509664576006025250,"3) SCOTUS' legitimacy was already under a cloud because of Trump’s and Mitch McConnell’s relentless packing of it. Between blocking Merrick Garland and rushing to confirm Amy Coney Barrett, Republicans have signaled that partisanship drives the court’s decision-making.

4/10",2022-03-31T22:50:57.000Z,,1509664572235345939,86,11,588,0,148529707,2010-05-26T23:17:10.000Z,Robert Reich,RBReich,"Berkeley, CA",1480060,628,23795,12796
3573,77,1509664576006025250,"3) SCOTUS' legitimacy was already under a cloud because of Trump’s and Mitch McConnell’s relentless packing of it. Between blocking Merrick Garland and rushing to confirm Amy Coney Barrett, Republicans have signaled that partisanship drives the court’s decision-making.

4/10",2022-03-31T22:50:57.000Z,,1509664572235345939,86,11,588,0,148529707,2010-05-26T23:17:10.000Z,Robert Reich,RBReich,"Berkeley, CA",1480072,628,23795,12797
3574,77,1509664576006025250,"3) SCOTUS' legitimacy was already under a cloud because of Trump’s and Mitch McConnell’s relentless packing of it. Between blocking Merrick Garland and rushing to confirm Amy Coney Barrett, Republicans have signaled that partisanship drives the court’s decision-making.

4/10",2022-03-31T22:50:57.000Z,,1509664572235345939,86,11,588,0,148529707,2010-05-26T23:17:10.000Z,Robert Reich,RBReich,"Berkeley, CA",1480105,628,23797,12797
3588,77,1509661457033699334,"@Jim_Jordan Trump stood up for Corporate America, DeSantis stood up against the LGBTQ community, Thomas sexually assaulted a colleague rewarded a spot on the SCOTUS with Ginni Ginni making deals with Meadows involving J6. How exactly are they standing up for me Gym?? 🤔",2022-03-31T22:38:34.000Z,,1509649625732550661,15,0,56,0,1195510099818827776,2019-11-16T01:13:26.000Z,UNION STRONG 🇺🇲🏳️‍🌈🇺🇦 Fuck Off GOP 🖕🖕🖕🖕,Dakota59949029,on a dark desert highway,2812,3909,6843,6
3636,78,1509609443989721120,“And it asked about the effort by Trump supporters to put forward alternate slates of electors as Mr. Trump and his allies were seeking to challenge the certification of the Electoral College outcome by Congress on Jan. 6.” 5/,2022-03-31T19:11:53.000Z,,1509609433420075041,233,8,1886,1,926164634570067968,2017-11-02T19:10:30.000Z,"Mueller, She Wrote",MuellerSheWrote,"San Diego, CA",235127,8388,103163,1411
3758,81,1509621810257698818,"BlackRock's president warned of inflation's dramatic effects, with an ""entitled generation"" now learning what it means to suffer from shortages https://t.co/XlDeyfydHz",2022-03-31T20:01:01.000Z,,1509621810257698818,87,80,155,66,1668256296,2013-08-13T16:57:48.000Z,Bloomberg Wealth,wealth,,71916,1526,25199,816
3885,82,1509642832117739522,Can’t wait for Wisconsin to put out a April Fool’s day tweet about Brad Davison coming back for a 6th year tomorrow #bits,2022-03-31T21:24:33.000Z,,1509642832117739522,8,8,248,4,1376259637826183170,2021-03-28T19:47:35.000Z,fake mike woodson,MikeWoodsonFake,"Indiana, USA",1256,624,2944,5
3887,82,1509636158032166917,"April 5th is a big Election Day in Wisconsin! 

Let’s show up for our communities and support progressive candidates across the board! 

Here is a list of union-approved candidates for your reference:

https://t.co/uwPZCYRVya",2022-03-31T20:58:02.000Z,,1509636158032166917,33,0,90,1,1357066144696291329,2021-02-03T20:39:27.000Z,Dr. Gillian Battino for Treasurer,GillianBattino,Wisconsin,42014,7642,170,124
3906,82,1509608385230032900,After a great day with @CoachAlvah and a great talk with Coach Chryst I am blessed to say I have received an offer from the University of Wisconsin being another one of my dream schools!! @CoachWhitted @CoachTurnerUW @BadgerFootball @GlenbardSouthFB @AllenTrieu @BlairRIVALS https://t.co/jg0CHKEy8I,2022-03-31T19:07:40.000Z,,1509608385230032900,26,5,336,6,1125244663932309504,2019-05-06T03:43:28.000Z,Cam Williams,cam_will30,"Glen Ellyn, IL",1030,688,451,7
3923,82,1509586392665538560,"Can you contribute now to ensure that we have full coverage in this final stretch, everywhere we need it? Today’s not just the end of the quarter—it’s the launch of Get Out The Vote in Wisconsin, and every day matters.
https://t.co/MRsRwHA24K",2022-03-31T17:40:17.000Z,,1509582843894288398,53,4,83,2,851211,2007-03-09T22:36:12.000Z,Ben Wikler,benwikler,"Wisconsin, USA",157992,5324,45117,1617
3924,82,1509586392665538560,"Can you contribute now to ensure that we have full coverage in this final stretch, everywhere we need it? Today’s not just the end of the quarter—it’s the launch of Get Out The Vote in Wisconsin, and every day matters.
https://t.co/MRsRwHA24K",2022-03-31T17:40:17.000Z,,1509582843894288398,53,4,83,2,851211,2007-03-09T22:36:12.000Z,Ben Wikler,benwikler,"Wisconsin, USA",157994,5324,45117,1617
3963,82,1509554770247303169,"Thank you, @GovEvers, for proclaiming today International #TransDayofVisibility in Wisconsin! Today and every day, we affirm that trans rights are human rights. https://t.co/KTEQjr0LlQ",2022-03-31T15:34:38.000Z,,1509554770247303169,19,1,68,0,2970377513,2015-01-09T20:45:52.000Z,Rep. Brostoff,RepBrostoff,,1773,577,1957,49
3986,82,1509535906285424641,"ICYMI: A Wisconsin judge found the state Assembly and Speaker Robin Vos in contempt in our lawsuit for records related to the Assembly’s election inquiry. They have 14 days to purge the contempt. After that, they will pay $1,000/ day until they comply.
https://t.co/92Ck3vFn6P",2022-03-31T14:19:40.000Z,,1509535906285424641,15,2,58,1,836226687272632320,2017-02-27T14:49:13.000Z,American Oversight,weareoversight,,118158,761,20950,986
3987,82,1509535906285424641,"ICYMI: A Wisconsin judge found the state Assembly and Speaker Robin Vos in contempt in our lawsuit for records related to the Assembly’s election inquiry. They have 14 days to purge the contempt. After that, they will pay $1,000/ day until they comply.
https://t.co/92Ck3vFn6P",2022-03-31T14:19:40.000Z,,1509535906285424641,15,2,58,1,836226687272632320,2017-02-27T14:49:13.000Z,American Oversight,weareoversight,,118158,761,20962,986
4024,87,1509563550393585673,"Today, I heard that the civil service values the following:

Accountability
Adaptability
Trustworthiness
Honesty
Commitment

Obviously, none of this applies to Ministers responsible for the various department of the civil service.",2022-03-31T16:09:31.000Z,,1509563550393585673,8,3,73,0,296794392,2011-05-11T12:20:32.000Z,Duchess Sam Malin and the boy cat Lucy,SamanthaMalin,"London, England",16495,7808,38238,36
4084,87,1509344501457952769,"""Whatever you think of Matt Gaetz or his personal life, or whatever you have heard, it's pretty simple: if a law enforcement agency or the Justice Department accuses you of a crime, they have to prove it. They don't get to just shut you up by smearing you."" –@TuckerCarlson https://t.co/zHYc57nWcS",2022-03-31T01:39:06.000Z,,1509344501457952769,1181,998,5203,80,818948638890217473,2017-01-10T22:32:25.000Z,Rep. Matt Gaetz,RepMattGaetz,,1479057,761,9465,4427
4161,92,1509646754081382404,A Republican lawmaker has insisted that former President Donald Trump was just being sarcastic and tweaking the media when he brazenly called for Russian President Vladimir Putin to release dirt on President Joe Biden’s son Hunter https://t.co/pWbTZQdnWN,2022-03-31T21:40:08.000Z,,1509646754081382404,37,111,108,31,16012783,2008-08-27T15:24:02.000Z,The Daily Beast,thedailybeast,"New York, NY",1363570,1025,379028,22975
4162,92,1509646754081382404,A Republican lawmaker has insisted that former President Donald Trump was just being sarcastic and tweaking the media when he brazenly called for Russian President Vladimir Putin to release dirt on President Joe Biden’s son Hunter https://t.co/pWbTZQdnWN,2022-03-31T21:40:08.000Z,,1509646754081382404,37,111,108,31,16012783,2008-08-27T15:24:02.000Z,The Daily Beast,thedailybeast,"New York, NY",1363598,1025,379044,22975
4189,92,1509618554219474953,"""Your dad (Joe Biden) just called me about his mortgage"" 

...""He could use some positive news about his future earning potential""

~Eric Schwerin Hunter Biden's Business Partner https://t.co/hLdpmibcjO",2022-03-31T19:48:05.000Z,,1509618554219474953,51,2,72,2,792091207140716544,2016-10-28T19:50:34.000Z,Lawyerforlaws,lawyer4laws,,23313,1634,314931,88
