id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1347610218356764675,1338863410256044039,2021-01-08 13:24:48 EST,2021-01-08,13:24:48,-0400,2218109204,traducime,Bridet,,"@GrandMamaBaller @knowhpv @Twitter It’s protects against the most serious and most common kinds of HPV, the ones that cause CANCER. Just like the flu vaccine protects against the most common strand of flu each year, &amp; the COVID vaccine protects the most common strand. Millions have received this HPV vaccine.",en,"['knowhpv', 'twitter']",[],[],0,0,2,[],[],https://twitter.com/Traducime/status/1347610218356764675,,,0,,,,,,,,"{'user_id': '116044876', 'username': 'PJays2021'}",,,,
1347360760553500673,1347360760553500673,2021-01-07 20:53:32 EST,2021-01-07,20:53:32,-0400,120149970,ronetele,Ron Wolf,,"@DrGabeMirkin on #COVID19 #vaccines:
• There is no evidence to show that mRNA in a vaccine can cause cancer. The mRNA is destroyed soon after it enters your body
• mRNA cannot cause COVID-19. The vaccine does not contain the virus that causes COVID-19, or any part of the virus",en,['drgabemirkin'],[],[],1,0,0,"['covid19', 'vaccines']",[],https://twitter.com/ronetele/status/1347360760553500673,,,0,,,,,,,,"{'user_id': '302209971', 'username': 'DrGabeMirkin'}",,,,
1346285812682530818,1346264890617573377,2021-01-04 21:42:05 EST,2021-01-04,21:42:05,-0400,848120643677802497,sollihenrik,BigMan,,@thehornestvocal @reshkay_ Cause Theres a lot of different Kinds of cancer and The field of research is a lot more complex than covid or virus research. You cant cure cancer with a simple vaccine but its already proved that it works on viruses,en,"['thehornestvocal', 'reshkay_']",[],[],0,0,2,[],[],https://twitter.com/SolliHenrik/status/1346285812682530818,,,0,,,,,,,,"{'user_id': '1292268003267088384', 'username': 'thehornestvocal'}",,,,
1346151227919224832,1346141806271090690,2021-01-04 12:47:17 EST,2021-01-04,12:47:17,-0400,47028136,anactualwizard,An Affordable Wizard (War is shit),,"@reddawn5297 @DrEricDing 1) You cant infect people with brain cancer, but covid Vaccination will increase their 5y survival rate due to being immunocomprimised. Cancer patients are a vaccine priority.
2) Covid is the #1 cause of death right, with a death rate (PIC excess) thats  13% this week (says  CDC)",en,['drericding'],[],[],1,0,4,[],[],https://twitter.com/AnActualWizard/status/1346151227919224832,,,0,,,,,,,,"{'user_id': '351189170', 'username': 'reddyred7712'}",,,,
1346028749196849154,1345949778828525573,2021-01-04 04:40:36 EST,2021-01-04,04:40:36,-0400,444499937,thatmoeb,Moe B,,@SabzaMusic @TKuntumi @ENOCKAY Some cancers can be cured and they aren’t from viruses usually. Free radicals mostly. Some side effects of certain viruses can cause cancer. Those viruses have working vaccines. Also HIV is complex compared to covid but we have treatments and 2 people have been cured of HIV so?,en,"['sabzamusic', 'tkuntumi', 'enockay']",[],[],0,0,3,[],[],https://twitter.com/THATMoeB/status/1346028749196849154,,,0,,,,,,,,"{'user_id': '900045554503340032', 'username': 'SabzaMusic'}",,,,
1345872582676013058,1345865821575401472,2021-01-03 18:20:03 EST,2021-01-03,18:20:03,-0400,16850401,megclement,Megan Clement,,"Tragically, I think in the end the problem with the COVID vaccine will be the same as the problem with the HPV vaccine: only rich countries get it. Cervical cancer, a now-preventable disease, is the leading cause of cancer death in women in sub-Saharan Africa.",en,[],[],[],2,0,3,[],[],https://twitter.com/MegClement/status/1345872582676013058,,,0,,,,,,,,"{'user_id': '16850401', 'username': 'MegClement'}",,,,
1345728743680188416,1345728743680188416,2021-01-03 08:48:29 EST,2021-01-03,08:48:29,-0400,34354747,badwebsites,bad websites,,"""Windmills cause cancer! Only I can... It's the TOILETS! You have to flush too much. Only I can fix it! ...Covid? Democrat Hoax/it'll die out/I DEVELOPED THE VACCINE! ...What about a wall? I never said anything about a wall!""",en,[],[],[],0,1,5,[],[],https://twitter.com/badwebsites/status/1345728743680188416,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1345577386893406214,1345577386893406214,2021-01-02 22:47:03 EST,2021-01-02,22:47:03,-0400,1149862140670386177,drkhorsk,Dr Khor SK,,"A short story:
🔺A Funeral, Durians, SMEs &amp; the Covid-19 Vaccines🔺

Had to organise a funeral (cause of death: lung cancer). Noticed dry ice being used. 
Spoke with the undertaker, who told me that each dry ice brick is ~RM20, is -70 Celcius and lasts ~1-2 days. 
1/5 https://t.co/wkJJo2Bb5m",en,[],[],['https://pbs.twimg.com/media/EqxzJFKU0AAPt6l.jpg'],3,78,138,[],[],https://twitter.com/DrKhorSK/status/1345577386893406214,,,1,https://pbs.twimg.com/media/EqxzJFKU0AAPt6l.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1345544799382855680,1345538531599515650,2021-01-02 20:37:33 EST,2021-01-02,20:37:33,-0400,950235663810560000,sauermelons,SauerMelon,,"@AlexBerenson "" Dont mind the metastatic lung cancer or the blunt force trauma, the cause of death is Covid !""
""Dont mind that they keeled over dead after receiving a Covid vaccine, its totally not related....""
....same people. https://t.co/5HZ218FsEM",en,['alexberenson'],[],['https://pbs.twimg.com/tweet_video_thumb/EqxV3C_XMAY0L55.jpg'],0,2,4,[],[],https://twitter.com/SauerMelons/status/1345544799382855680,,,1,https://pbs.twimg.com/tweet_video_thumb/EqxV3C_XMAY0L55.jpg,,,,,,,"{'user_id': '87679233', 'username': 'AlexBerenson'}",,,,
1345495446882557952,1345100089505755139,2021-01-02 17:21:27 EST,2021-01-02,17:21:27,-0400,1216412774,carpenterjulie6,Julie,,"@realDonaldTrump Covid will disappear in April. 🤔
I, alone can fix it. 🤔
Mexico will pay for a wall. 🤔
I have a healthcare plan. 🤔
I will eliminate the deficit. 🤔
Hydroxychloroquine is the cure🤔
Windmills cause cancer. 🤔
100 million vaccines by 12/31/20🤔
...🤔🤔🤔🤔🤔🤔🤔🤔🤔#BiggestLoser",en,['realdonaldtrump'],[],[],0,0,0,['biggestloser'],[],https://twitter.com/carpenterjulie6/status/1345495446882557952,,,0,,,,,,,,"{'user_id': '25073877', 'username': 'realDonaldTrump'}",,,,
