user_id,user_timestamp,user_location,user_followers,user_following,user_tweet_count,user_listed_count
281522957,2011-04-13T13:04:18.000Z,Leeds UK,11048,12139,132952,362
909002008576786433,2017-09-16T10:32:22.000Z,,1,28,406,0
2670636555,2014-07-04T05:25:15.000Z,Canada,1151,1263,12830,5
1156694457921822725,2019-07-31T22:33:43.000Z,,779,2408,17014,2
3674375489,2015-09-16T11:43:03.000Z,"England, United Kingdom",206,1921,5563,1
335494047,2011-07-14T19:31:30.000Z,,25012,2612,45827,145
978789361943801858,2018-03-28T00:22:23.000Z,United With People of Ukraine,39805,40389,65282,43
1272870600206401536,2020-06-16T12:36:23.000Z,,154,275,15837,2
28588811,2009-04-03T15:46:49.000Z,England ,165,608,1085,3
613361479,2012-06-20T11:22:49.000Z,,1369,2927,17036,0
153830293,2010-06-09T16:59:36.000Z,US of Banana Republic,529,320,38096,13
1326727167804256257,2020-11-12T03:23:13.000Z,,597,539,16520,0
554339820,2012-04-15T10:54:24.000Z,"Manchester, England",14367,8992,51863,4
1071188360390213638,2018-12-07T23:43:01.000Z,,611,1093,14085,11
2776989620,2014-08-28T19:13:55.000Z,,415,1173,64,7
25135739,2009-03-18T19:33:59.000Z,"Benson, AZ",10337,10628,23656,66
1341216183391985664,2020-12-22T02:57:23.000Z,,9,34,441,0
1125077136727875585,2019-05-05T16:37:47.000Z,,93,245,2758,0
865785304648749056,2017-05-20T04:24:36.000Z,"Ohio, USA",1190,1912,38031,1
1341516310124113922,2020-12-22T22:50:04.000Z,"Long Beach, NY",1,14,16,0
2531643876,2014-05-29T04:18:45.000Z,Scottsdale (born Pittsburgh),5276,3058,103489,424
62928920,2009-08-04T21:08:50.000Z,Earth,22757,24321,12048,128
16509554,2008-09-29T09:11:15.000Z,Berlin,602,2257,50479,24
1370641478,2013-04-21T21:43:12.000Z,,71,409,11336,1
15036078,2008-06-07T05:39:53.000Z,,118,80,20151,1
16479505,2008-09-27T01:47:16.000Z,USA-MS,2699,3724,111650,133
1142702293822738432,2019-06-23T07:53:52.000Z,Asgard ,0,9,10719,0
1408375141,2013-05-06T18:10:22.000Z,Minneapolis - Twin Cities area,826,2391,15695,226
272278343,2011-03-26T05:33:13.000Z,"Houston, Texas, U.S.A.",7097,5782,177601,242
68782255,2009-08-25T19:25:59.000Z,"Chester, PA",699,651,2301,3
68036718,2009-08-23T01:25:33.000Z,"Washington, DC",5759,4503,45533,49
1248296554492047360,2020-04-09T17:08:29.000Z,,4529,145,3056,24
558894931,2012-04-20T19:43:50.000Z,"ℂ𝕙𝕒𝕣𝕝𝕖𝕤𝕥𝕠𝕟, Sℂ",1318,3074,69691,4
1239811551441240065,2020-03-17T07:11:41.000Z,"Gold Coast, Queensland",1198,1982,1858,3
774848537074872324,2016-09-11T05:54:22.000Z,,1,5,6,0
523601690,2012-03-13T19:43:08.000Z,Nigeria,19,378,1104,0
38878129,2009-05-09T16:12:42.000Z,CA,1404,4839,81174,46
825550960332255233,2017-01-29T03:47:41.000Z,Aroundtown,420,1049,11683,0
1216471530940428288,2020-01-12T21:26:48.000Z,"Portland, OR",71,267,4329,0
1266491662689284107,2020-05-29T22:09:07.000Z,"Morecambe Bay,  England",1863,2838,55125,7
236212728,2011-01-10T02:18:05.000Z,Montréal,347,614,19976,2
1277748827211128832,2020-06-29T23:40:56.000Z,Ashville nc ,1420,4873,29077,5
407874523,2011-11-08T17:32:58.000Z,,270,845,14215,34
789185894125142016,2016-10-20T19:25:54.000Z,Worldwide Traveler,1168,1644,5641,18
726089858607894529,2016-04-29T16:44:47.000Z,US,1738,4995,373940,11
724529046,2012-07-29T19:46:14.000Z,"Austin, TX",607,379,89123,2
1261480476117733377,2020-05-16T02:16:19.000Z,,21,166,7258,0
1209408461425008640,2019-12-24T09:40:38.000Z,,298,559,23502,1
815975718752579584,2017-01-02T17:39:06.000Z,"Staffordshire , England ",2631,4963,73128,6
28623425,2009-04-03T18:30:32.000Z,"Philadelphia, PA USA",95,337,1474,1
2946439869,2014-12-28T21:09:49.000Z,"Florida, USA",310,1207,1501,1
223248683,2010-12-05T20:59:26.000Z,"Newcastle upon Tyne, UK",2053,1055,106997,86
184507279,2010-08-29T19:01:54.000Z,France,293,420,63915,5
1329005763998650370,2020-11-18T10:17:44.000Z,"Abuja, Nigeria",85,182,5494,0
1265694182632337409,2020-05-27T17:20:00.000Z,,49,318,3761,0
776903299630968832,2016-09-16T21:59:15.000Z,"California, USA",512,767,64285,14
6165492,2007-05-19T19:13:12.000Z,Florida,1215,5004,9533,11
960167636423278592,2018-02-04T15:06:18.000Z,,191,194,29712,0
2365378849,2014-02-28T09:53:47.000Z,Paris,65046,27636,493164,574
550352789,2012-04-10T18:54:03.000Z,,77,9,6967,0
922806178446327809,2017-10-24T12:45:12.000Z,Canada,6282,4488,151052,5
20615893,2009-02-11T19:18:17.000Z,"Manchester, England",19568,3515,16253,17
421958572,2011-11-26T16:25:18.000Z,steps of Praetorium,367,2100,76896,9
327157081,2011-07-01T02:50:09.000Z,"GPS -7.312622, 72.412545",166,208,3317,1
1012426060435279872,2018-06-28T20:02:37.000Z,"Kent, UK",3713,4358,46970,11
1279838899280457730,2020-07-05T18:05:55.000Z,"England, United Kingdom",13,78,981,0
2440926827,2014-03-27T23:35:41.000Z,"Cardiff, Wales",92,1402,2606,0
1352487900705787904,2021-01-22T05:27:52.000Z,"Bellevue, WA",2,293,70,0
864281187052859393,2017-05-16T00:47:47.000Z,,3,32,165,0
928964978,2012-11-06T04:06:26.000Z,,741,1911,18040,3
48859506,2009-06-19T23:06:10.000Z,,781,680,23021,12
1183078274563477505,2019-10-12T17:53:48.000Z,,26,203,5319,1
313348275,2011-06-08T14:32:49.000Z,Refugee (formerly Manhattan),6103,343,20813,38
1304889133,2013-03-26T16:58:03.000Z,"South Orange, NJ",1374,1296,19376,31
1272616599154044935,2020-06-15T19:47:20.000Z,,26,496,853,0
18270395,2008-12-20T18:40:23.000Z,"Oregon City, OR",96,289,4029,3
852633867890507776,2017-04-13T21:25:30.000Z,Undisclosed,26,78,12491,0
19206511,2009-01-19T22:44:32.000Z,D.M.V,13668,1924,41449,158
941516360,2012-11-11T15:16:40.000Z,,37,553,2962,0
4247299639,2015-11-15T16:13:53.000Z,,368,137,19357,1
295894432,2011-05-09T21:01:11.000Z,,34,174,909,0
1127958111191478272,2019-05-13T15:25:45.000Z,France,770,912,34151,6
81167940,2009-10-09T18:11:43.000Z,France,1460,4092,73475,120
237286843,2011-01-12T14:11:49.000Z,,109,1544,5068,0
1292729947740680193,2020-08-10T07:50:35.000Z,,1351,1582,11252,0
371504522,2011-09-11T00:20:21.000Z,,1492,312,50874,6
3075736215,2015-03-06T20:49:38.000Z,,8,145,343,1
1075778156,2013-01-10T05:49:35.000Z,,25,107,3786,0
1214968424071409665,2020-01-08T17:54:00.000Z,,14,160,554,3
836785416,2012-09-21T02:09:52.000Z,,12,30,6225,0
2232365514,2013-12-06T03:10:40.000Z,"Key West, Florida USA",64,337,19287,2
1317937124314730496,2020-10-18T21:14:52.000Z,,133,245,4163,2
80906004,2009-10-08T18:09:54.000Z,9th Demension Consiousness  ,690,372,8281,13
243440810,2011-01-27T01:41:04.000Z,"Miami, FL",778,1587,79897,53
258629599,2011-02-28T03:45:26.000Z,,106,816,10375,3
43112012,2009-05-28T13:48:39.000Z,"Manchester/Derbyshire, UK",479,1866,19314,7
353365146,2011-08-11T23:37:38.000Z,"Calgary, Alberta",3744,1214,100316,97
841842066128699392,2017-03-15T02:42:44.000Z,"California, USA",414,416,1856,4
user_id,user_timestamp,user_location,user_followers,user_following,user_tweet_count,user_listed_count
32696018,2009-04-18T01:00:58.000Z,,1653,4110,18190,18
1180253407254216704,2019-10-04T22:51:16.000Z,,329,116,23128,2
774197586429304832,2016-09-09T10:47:43.000Z,Japan,22,142,5337,1
1291799483186110465,2020-08-07T18:13:03.000Z,,4,38,114,2
590485998,2012-05-25T23:24:45.000Z,,837,134,5245,1
745540429,2012-08-08T16:47:23.000Z,New York City,30050,499,19348,184
4850865783,2016-01-26T19:57:51.000Z,Here. Tweets my own. ,149,699,6549,0
3377590564,2015-07-15T16:46:18.000Z,Professor-In-Exile,9463,1056,5668,17
951340573021102082,2018-01-11T06:30:42.000Z,missouri ,2,22,325,0
14772391,2008-05-14T12:28:07.000Z,"Edinburgh, Glasgow",253,468,12412,7
2459130996,2014-04-23T03:45:58.000Z,United States,1094,4982,77855,1
1243867665195728896,2020-03-28T11:50:45.000Z,From kawartha lakes,1671,2997,21469,2
24378502,2009-03-14T14:58:05.000Z,"Ireland, Europe, Global",49619,40335,9536,0
892075654921027584,2017-07-31T17:33:04.000Z,"Vereeniging, South Africa",382,1268,10636,0
1141321970514038786,2019-06-19T12:28:57.000Z,,11,19,1977,0
1289298175,2013-03-22T17:52:50.000Z,"Warrington, England",1261,1331,6772,4
78372173,2009-09-29T17:50:34.000Z,"Indiana, USA",1253,2007,3713,1
1279490200410951685,2020-07-04T19:00:22.000Z,NFTLand,5269,521,8523,23
131373718,2010-04-10T02:41:23.000Z,Pacific Northwest,5744,6306,88735,217
1348495144253874176,2021-01-11T05:01:30.000Z,,62,647,30425,1
876613044112982016,2017-06-19T01:30:11.000Z,USA,333,276,14163,1
2873612025,2014-11-12T11:37:33.000Z,Dreaming of Mosquito Bay,75,318,1208,0
4382400263,2015-12-05T11:18:00.000Z,Your Console,551,68,348428,219
221450679,2010-11-30T18:12:15.000Z,,276,1192,11173,0
415092795,2011-11-17T22:06:38.000Z,michigan,27,181,771,0
1306884243390304260,2020-09-18T09:14:29.000Z,"Melbourne, Victoria",670,1128,7934,0
1054666578,2013-01-02T09:52:22.000Z,India,162,364,8558,0
751120712014950400,2016-07-07T18:28:27.000Z,"King of Prussia, PA",11,56,150,0
2402922348,2014-03-22T08:24:31.000Z,Mangalore ,473,230,439,2
1331786179226836995,2020-11-26T02:25:50.000Z,"Illinois, USA",20,80,744,0
243694810,2011-01-27T16:23:31.000Z,,134,201,15585,1
