user_id,user_timestamp,user_location,user_followers,user_following,user_tweet_count,user_listed_count
1058017182,2013-01-03T15:14:42.000Z,"California, USA",50,126,1089,1
814926011863273472,2016-12-30T20:07:56.000Z,Nebraska,341,539,37063,0
3078078098,2015-03-13T20:35:20.000Z,Minnesota,6391,4387,35404,31
2409029432,2014-03-24T13:39:57.000Z,"Detroit, MI",1719,1552,19285,15
443044262,2011-12-21T19:05:59.000Z,San Francisco,11462,11695,79897,48
1474274960,2013-06-01T09:32:34.000Z,US East Coast,17290,16889,287689,10
1255805958724468737,2020-04-30T10:27:51.000Z,,2,42,5,0
1132698835405475841,2019-05-26T17:23:41.000Z,,322,645,13963,1
2897878428,2014-11-12T23:24:59.000Z,"Yuma, AZ",88,176,141,0
712019955567300608,2016-03-21T20:56:00.000Z,"TN, USA",54,882,6066,3
902371559578460160,2017-08-29T03:25:19.000Z,"Clinton, MO",314,592,6513,3
2852566999,2014-10-12T01:37:37.000Z,"White Bear Lake, MN",133,420,2058,0
870992683728109572,2017-06-03T13:16:52.000Z,"Texas, USA",2129,4202,35338,2
3295594491,2015-05-23T19:47:19.000Z,"Syracuse, NY, USA",2724,801,16370,35
2605998816,2014-07-05T19:42:41.000Z,,0,1,1174,0
828835721481908227,2017-02-07T05:20:09.000Z,Blue island in red eastern WA ,303,550,24446,2
1110764602227220480,2019-03-27T04:44:52.000Z,,935,1458,41667,0
723633786,2012-07-29T08:21:36.000Z,Manchster,43,61,32252,8
256635789,2011-02-23T19:12:50.000Z,Detroit,745,590,10150,1
878417619711381505,2017-06-24T01:00:55.000Z,   ,4,19,3390,0
16819561,2008-10-17T03:29:34.000Z,NYC,6156,2906,53182,50
940933390538346496,2017-12-13T13:16:16.000Z,,237,703,45328,2
1221966782925176833,2020-01-28T01:23:42.000Z,,140,180,17660,1
17928003,2008-12-06T20:15:05.000Z,"Huntington, NY, USA",5154,5676,2863,14
1382167207,2013-04-26T15:13:33.000Z,"California Central Coast, USA",4686,4903,60203,12
1292523954,2013-03-23T21:30:44.000Z,Jersey girl working in Miami,28,128,1254,0
845076924825186305,2017-03-24T00:56:54.000Z,,1,15,754,0
824403864627539968,2017-01-25T23:49:32.000Z,"Gainesville, FL",1262,2226,34568,0
1164502099062902784,2019-08-22T11:38:47.000Z,,98,417,378,0
609951650,2012-06-16T12:31:34.000Z,United States,686,687,32796,14
36533481,2009-04-30T00:21:12.000Z,United States,524,4872,82987,5
860622654,2012-10-04T01:15:04.000Z,Washington DC,39,117,441,0
424234218,2011-11-29T14:37:54.000Z,,2738,5001,23385,0
19241155,2009-01-20T15:35:07.000Z,Baltimore DC NYC SF Seattle,3291,3700,6939,104
715633124483293186,2016-03-31T20:13:27.000Z,"California, USA",38,247,10639,3
1271604076279717888,2020-06-13T00:44:55.000Z,,33,83,1782,1
755610041969942528,2016-07-20T03:47:27.000Z,,80,321,19731,1
1061647847248977920,2018-11-11T15:52:26.000Z,"DFW, TX",959,2526,20891,2
4322065997,2015-11-29T21:35:35.000Z,"Orange County, California",11638,5774,166215,134
